,Brand,Price,MRP,Processor,Rating,Reviews,Reviews1,Ram,Ava_offer
56,ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home) X413JA-EK277TS Thin and Ligh...,"₹58,990","₹84,999","Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB SSD35.56 cm (14 inch) DisplayTru2Life, Splendid, My Asus, Microsoft Office Home and Student 20191 Year Onsite Warranty",3.9,512 Ratings & 74 Reviews,512 Ratings & 74 Reviews,35.56 cm (14 inch) Display,9% off
57,Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4243IN Thin and Light Laptop,"₹44,999","₹62,030","Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMi Blaze Unlock, Mi Smart Share1 Year Manufacturer Warranty from the Date of Purchase",4.5,"1,041 Ratings & 141 Reviews","1,041 Ratings & 141 Reviews","Mi Blaze Unlock (Unlock NoteBook with Help of a Mi Band), Mi Smart Share",11% off
58,Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) S145-15IIL Thin and Light Lap...,"₹33,990","₹65,999",Intel Core i3 Processor (10th Gen)4 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,4.7,32 Ratings & 8 Reviews,32 Ratings & 8 Reviews,1 Year Manufacturer Warranty from the Date of Purchase,11% off
59,acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,"₹54,990","₹1,01,990","Intel Core i5 Processor (9th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayAcer Collection, Acer Product Registration , Quick Access, Acer Care Center1 Year International Travelers Warranty (ITW)",4.5,415 Ratings & 54 Reviews,415 Ratings & 54 Reviews,Intel Core i3 Processor (10th Gen),2% off
60,ASUS VivoBook Ultra 14 Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 Home) X413JA-EK279TS Thin and Ligh...,"₹58,990","₹95,090","Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB SSD35.56 cm (14 inch) DisplayTru2Life, Splendid, My Asus, Microsoft Office Home and Student 20191 Year Onsite Warranty",4.7,320 Ratings & 33 Reviews,320 Ratings & 33 Reviews,8 GB DDR4 RAM,8% off
61,HP 15s Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du3032TU Thin and Light Laptop,"₹54,999","₹46,390","M.2 Slot for SSD UpgradeIntel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 2019, HP Documentation, HP BIOS Recovery, HP Smart, HP Support Assistant, Dropbox1 Year Onsite Warranty",4.3,543 Ratings & 73 Reviews,543 Ratings & 73 Reviews,64 bit Windows 10 Operating System,4% off
62,ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GT...,"₹69,990","₹46,359",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,5,15 Ratings & 3 Reviews,15 Ratings & 3 Reviews,512 GB SSD,25% off
63,Lenovo Ideapad S 540 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 540-1...,"₹60,895","₹63,179",Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty,1,"2,475 Ratings & 289 Reviews","2,475 Ratings & 289 Reviews",35.56 cm (14 inch) Touchscreen Display,4% off
64,ASUS VivoBook Ultra 14 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) X413EA-EB322TS Thin and Li...,"₹44,990","₹55,431","Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 2019, Tru2Life, Splendid, My Asus1 Year Onsite Warranty",4,"1,161 Ratings & 132 Reviews","1,161 Ratings & 132 Reviews","Microsoft Office Home and Student 2019, HP Audio Switch, HP ePrint, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart, Built-in Alexa",15% off
65,Mi Notebook 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) JYU4298IN Thin and Light Laptop,"₹43,999","₹26,490","Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayMi Blaze Unlock (Unlock NoteBook with Help of a Mi Band), Mi Smart Share1 Year Manufacturer Warranty from the Date of Purchase",3,433 Ratings & 65 Reviews,433 Ratings & 65 Reviews,1 Year Onsite Warranty,34% off
